Source,Target,Joint papers
Min Chen,Cagatay Turkay,8
Alfie Abdul-Rahman,Min Chen,6
Alfie Abdul-Rahman,Euan Freeman,6
Alfie Abdul-Rahman,Cagatay Turkay,6
Min Chen,Euan Freeman,6
Euan Freeman,Cagatay Turkay,6
Enrico Bertini,Lace Padilla,5
Min Chen,Saiful Khan,5
Samah W. Al-Jabi,Sa'ed H. Zyoud,4
Min Chen,Hui Fang,4
Hui Fang,Cagatay Turkay,4
Enrico Bertini,Racquel Fygenson,4
Racquel Fygenson,Lace Padilla,4
Alfie Abdul-Rahman,Saiful Khan,4
Euan Freeman,Saiful Khan,4
Saiful Khan,Cagatay Turkay,4
Samah W. Al-Jabi,Amer Koni,3
Samah W. Al-Jabi,Muna Shakhshir,3
Amer Koni,Muna Shakhshir,3
Amer Koni,Sa'ed H. Zyoud,3
Muna Shakhshir,Sa'ed H. Zyoud,3
Quanjun Chen,Zipei Fan,3
Quanjun Chen,Renhe Jiang,3
Quanjun Chen,Ryosuke Shibasaki,3
Quanjun Chen,Xuan Song,3
Quanjun Chen,Chuang Yang,3
Quanjun Chen,Zhiwen Zhang,3
Zipei Fan,Renhe Jiang,3
Zipei Fan,Ryosuke Shibasaki,3
Zipei Fan,Xuan Song,3
Zipei Fan,Chuang Yang,3
Zipei Fan,Zhiwen Zhang,3
Renhe Jiang,Ryosuke Shibasaki,3
Renhe Jiang,Xuan Song,3
Renhe Jiang,Chuang Yang,3
Renhe Jiang,Zhiwen Zhang,3
Ryosuke Shibasaki,Xuan Song,3
Ryosuke Shibasaki,Chuang Yang,3
Ryosuke Shibasaki,Zhiwen Zhang,3
Xuan Song,Chuang Yang,3
Xuan Song,Zhiwen Zhang,3
Chuang Yang,Zhiwen Zhang,3
Enrico Bertini,Spencer C. Castro,3
Spencer C. Castro,Racquel Fygenson,3
Spencer C. Castro,Lace Padilla,3
Benjamin Bach,Min Chen,3
Benjamin Bach,Saiful Khan,3
Andrea G. Parker,Yifan Sun,3
Andrea G. Parker,Yixuan Zhang,3
Yifan Sun,Yixuan Zhang,3
Rita Borgo,Min Chen,2
Rita Borgo,Hui Fang,2
Rita Borgo,Cagatay Turkay,2
Alfie Abdul-Rahman,Benjamin Bach,2
Benjamin Bach,Euan Freeman,2
Benjamin Bach,Cagatay Turkay,2
Alfie Abdul-Rahman,Hui Fang,2
Hui Fang,Euan Freeman,2
Alfie Abdul-Rahman,Rita Borgo,1
Enrico Bertini,Andrea G. Parker,1
Enrico Bertini,Yifan Sun,1
Enrico Bertini,Yixuan Zhang,1
Lace Padilla,Andrea G. Parker,1
Lace Padilla,Yifan Sun,1
Lace Padilla,Yixuan Zhang,1
