Author,Papers,Group,Degree
Min Chen,10,Min Chen / Cagatay Turkay,7
Cagatay Turkay,9,Min Chen / Cagatay Turkay,7
Alfie Abdul-Rahman,7,Min Chen / Cagatay Turkay,7
Enrico Bertini,6,Enrico Bertini / Lace Padilla,6
Euan Freeman,6,Min Chen / Cagatay Turkay,6
Lace Padilla,5,Enrico Bertini / Lace Padilla,6
Sa'ed H. Zyoud,5,Sa'ed H. Zyoud / Samah W. Al-Jabi,3
Saiful Khan,5,Min Chen / Cagatay Turkay,5
Samah W. Al-Jabi,5,Sa'ed H. Zyoud / Samah W. Al-Jabi,3
Yixuan Zhang,5,Enrico Bertini / Lace Padilla,4
Hui Fang,4,Min Chen / Cagatay Turkay,5
Racquel Fygenson,4,Enrico Bertini / Lace Padilla,3
Amer Koni,3,Sa'ed H. Zyoud / Samah W. Al-Jabi,3
Andrea G. Parker,3,Enrico Bertini / Lace Padilla,4
Benjamin Bach,3,Min Chen / Cagatay Turkay,5
Chuang Yang,3,Chuang Yang / Quanjun Chen,6
Muna Shakhshir,3,Sa'ed H. Zyoud / Samah W. Al-Jabi,3
Quanjun Chen,3,Chuang Yang / Quanjun Chen,6
Renhe Jiang,3,Chuang Yang / Quanjun Chen,6
Rita Borgo,3,Min Chen / Cagatay Turkay,4
Ryosuke Shibasaki,3,Chuang Yang / Quanjun Chen,6
Spencer C. Castro,3,Enrico Bertini / Lace Padilla,3
Xuan Song,3,Chuang Yang / Quanjun Chen,6
Yifan Sun,3,Enrico Bertini / Lace Padilla,4
Zhiwen Zhang,3,Chuang Yang / Quanjun Chen,6
Zipei Fan,3,Chuang Yang / Quanjun Chen,6
