,visual:line,visual:map,visual:bar,visual:dashboard,visual:scatter,visual:heatmap,visual:area,visual:boxplot,visual:pie,visual:network,visual:table,visual:wordcloud,visual:bubble,visual:forest,visual:image,visual:violin,visual:3d,visual:dot,visual:histogram,visual:animation,visual:treemap,row_total_papers
user:domain_experts,68,50,52,11,19,15,13,12,10,7,11,2,3,6,4,5,1,1,2,0,1,113
user:policymakers,48,46,37,10,11,9,8,7,10,6,9,7,2,3,0,0,1,0,2,0,1,77
user:public,34,33,30,14,5,3,5,2,7,3,6,2,4,0,1,0,2,2,0,2,1,67
user:public_health,26,21,19,3,2,1,1,0,7,1,3,3,0,0,0,0,0,0,0,0,0,39
user:researchers,12,13,8,2,0,3,1,2,0,2,0,1,1,0,0,0,0,0,1,0,0,28
user:epidemiologists,17,12,10,3,1,4,1,1,5,2,0,0,0,0,0,0,0,0,1,0,0,26
user:data_scientists,13,9,8,1,2,5,1,1,0,3,0,2,0,0,0,0,0,0,1,0,0,20
user:healthcare_experts,10,6,4,2,0,3,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,15
user:educators,1,1,2,0,0,0,0,1,0,2,0,1,1,0,0,0,1,0,0,0,0,5
user:sociological,2,2,3,1,1,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,4
user:students,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3
user:business_analysts,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
user:economists,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
col_total_papers,109,88,82,26,25,22,17,15,15,14,14,10,6,6,5,5,4,3,3,2,2,
